question_ID,question,context1,context2,answer1,answer2,contradictType,samepassage,merged_context,ref_answer,WikipediaArticleTitle,url
1,"Which of the following are present in Nymphaea nouchali var. caerulea: apomorphine, aporphine, or neither?",Apomorphine is said to be main psychoactive compound present.,"Like other species in the genus, Nymphaea nouchali var. caerulea contains the psychoactive alkaloid aporphine (not to be confused with apomorphine, a metabolic product of aporphine).",Apomorphine,Aporphine,Implicit (reasoning required),Different,"Apomorphine is said to be main psychoactive compound present.
Like other species in the genus, Nymphaea nouchali var. caerulea contains the psychoactive alkaloid aporphine (not to be confused with apomorphine, a metabolic product of aporphine).",Apomorphine|Aporphine,Nymphaea nouchali var. caerulea,https://en.wikipedia.org/wiki/Nymphaea_nouchali_var._caerulea
2,Are there any other missiles besides the P-500 Bazalt that influenced the design of P-700 Granit missile?,The P-700 was derived from the P-500 Bazalt missile with a turbojet.,The missile was partially derived from the P-500 Bazalt.,No.,Yes.,Explicit,Different,"The P-700 was derived from the P-500 Bazalt missile with a turbojet.
The missile was partially derived from the P-500 Bazalt.",No.|Yes.,P-700 Granit,https://en.wikipedia.org/wiki/P-700_Granit
3,Did the formation of the grooves on Phobos occur as a single event?,"The model designed in 2015 supported the discovery that some of the grooves are younger than others, implying that the process that produces the grooves is ongoing.","In November 2018, following further computational probability analysis, astronomers concluded that the many grooves on Phobos were caused by boulders, ejected from the asteroid impact that created Stickney crater. These boulders rolled in a predictable pattern on the surface of the moon.",No.,Yes.,Implicit (reasoning required),Different,"The model designed in 2015 supported the discovery that some of the grooves are younger than others, implying that the process that produces the grooves is ongoing.
In November 2018, following further computational probability analysis, astronomers concluded that the many grooves on Phobos were caused by boulders, ejected from the asteroid impact that created Stickney crater. These boulders rolled in a predictable pattern on the surface of the moon.",No.|Yes.,Phobos (moon),https://en.wikipedia.org/wiki/Phobos_(moon)
4,Did Bishop Heber meet D’Oyly in the 1840s in Patna ?,"Bishop Heber, who visited Patna in the 1840s, described Charles D'Oyly as the “best gentleman artist I ever met”.","After working for the Company for forty years, Charles D'Oyly's failing health compelled him to retire and leave India in 1838",Yes,No,Implicit (reasoning required),Different,"Bishop Heber, who visited Patna in the 1840s, described Charles D'Oyly as the “best gentleman artist I ever met”.
After working for the Company for forty years, Charles D'Oyly's failing health compelled him to retire and leave India in 1838",Yes|No,Charles D'Oyly,https://en.wikipedia.org/wiki/Charles_D'Oyly
5,What year did President Oler take the stand in court?,"President Wesley M. Oler took the stand for the company in 1911 when detectives traveled to Rockland Lake to find the icehouses packed with ice but no workers to load the product onto barges to New York City. The lack of workers had to do with the two dollars they were getting paid when small, independent companies were paying double what bigger companies like Knickerbocker were paying their employees. Oler took to the stand to tell the court he was paying his workers properly and was even paying them extra for the work they did on Sundays, but the workers rebelled. When detectives dug deeper into the situation, they discovered Oler secretly made deals with other companies to purchase ice when they were suffering from deficiencies. Oler came up with numerous excuses why he was conducting the Knickerbocker Ice Company’s business in such a way. Oler explained it was cheaper to transport ice in smaller quantities to meet the demands of clients than to purchase more rail cars and transport everything at once. Also, the 1890s was an exceptionally warm winter which was a major setback for the ice industry since there was not much ice to sell to consumers. Oler told the court he searched for skilled workers to harvest ice during the warm season but was unsuccessful, which is the why these complications occurred while he was president of the company.","President Wesley M. Oler took the stand for the company in 1911 when detectives traveled to Rockland Lake to find the icehouses packed with ice but no workers to load the product onto barges to New York City. The lack of workers had to do with the two dollars they were getting paid when small, independent companies were paying double what bigger companies like Knickerbocker were paying their employees. Oler took to the stand to tell the court he was paying his workers properly and was even paying them extra for the work they did on Sundays, but the workers rebelled. When detectives dug deeper into the situation, they discovered Oler secretly made deals with other companies to purchase ice when they were suffering from deficiencies. Oler came up with numerous excuses why he was conducting the Knickerbocker Ice Company’s business in such a way. Oler explained it was cheaper to transport ice in smaller quantities to meet the demands of clients than to purchase more rail cars and transport everything at once. Also, the 1890s was an exceptionally warm winter which was a major setback for the ice industry since there was not much ice to sell to consumers. Oler told the court he searched for skilled workers to harvest ice during the warm season but was unsuccessful, which is the why these complications occurred while he was president of the company.",President Oler took the stand in 1911,President Oler appeard in court in the 1890s,Implicit (reasoning required),Same,"President Wesley M. Oler took the stand for the company in 1911 when detectives traveled to Rockland Lake to find the icehouses packed with ice but no workers to load the product onto barges to New York City. The lack of workers had to do with the two dollars they were getting paid when small, independent companies were paying double what bigger companies like Knickerbocker were paying their employees. Oler took to the stand to tell the court he was paying his workers properly and was even paying them extra for the work they did on Sundays, but the workers rebelled. When detectives dug deeper into the situation, they discovered Oler secretly made deals with other companies to purchase ice when they were suffering from deficiencies. Oler came up with numerous excuses why he was conducting the Knickerbocker Ice Company’s business in such a way. Oler explained it was cheaper to transport ice in smaller quantities to meet the demands of clients than to purchase more rail cars and transport everything at once. Also, the 1890s was an exceptionally warm winter which was a major setback for the ice industry since there was not much ice to sell to consumers. Oler told the court he searched for skilled workers to harvest ice during the warm season but was unsuccessful, which is the why these complications occurred while he was president of the company.",President Oler took the stand in 1911|President Oler appeard in court in the 1890s,Knickerbocker Ice Company,https://en.wikipedia.org/wiki/Knickerbocker_Ice_Company
6,What is the most common occupation for the residents of Kodimunai?,"A significant number of the residents of Kodimunai do jobs related to fishing. These jobs includes deep sea fishing, shallow water fishing, fishing from the shore (known as karamadi in the local language), fishing with mechanized boats, exporting fish, etc.","Many of the residents of Kodimunai work in a number of other fields like IT, medicine, education, engineering, trading, cargo shipping, etc. However, there is no noticeable local industry except for fishing",Fishing,"IT, medicine, engineering, trading",Implicit (reasoning required),Different,"A significant number of the residents of Kodimunai do jobs related to fishing. These jobs includes deep sea fishing, shallow water fishing, fishing from the shore (known as karamadi in the local language), fishing with mechanized boats, exporting fish, etc.
Many of the residents of Kodimunai work in a number of other fields like IT, medicine, education, engineering, trading, cargo shipping, etc. However, there is no noticeable local industry except for fishing","Fishing|IT, medicine, engineering, trading",Kodimunai,https://en.wikipedia.org/wiki/Kodimunai
7,What is the salinity of Lake Maracaibo?,"Lake Maracaibo is deep in the south and shallow in the north. The northern half of Lake Maracaibo, which looks like a bottleneck, is 55 kilometers long. The southeastern edge of Lake Maracaibo basin with a flat bottom is steep and the northwestern edge is gentle. Lake Maracaibo is slightly salty due to the influence of tides, and the overall salinity of Lake Maracaibo is between 1.5 and 3.8%.","The Catatumbo River forms a bird-foot-shaped delta in the southwest of Lake Maracaibo basin, and the surface lake water in the delta has a salinity of only 0.13%. However, the intrusion of seawater from the mouth of Lake Maracaibo makes the salinity of the bottom lake water higher, reaching 0.2-0.3%.",The salinity of Lake Maracaibo is between 1.5% and 3.8%,The salinity of Lake Maracibo is between 0.2% and 0.3%,Explicit,Different,"Lake Maracaibo is deep in the south and shallow in the north. The northern half of Lake Maracaibo, which looks like a bottleneck, is 55 kilometers long. The southeastern edge of Lake Maracaibo basin with a flat bottom is steep and the northwestern edge is gentle. Lake Maracaibo is slightly salty due to the influence of tides, and the overall salinity of Lake Maracaibo is between 1.5 and 3.8%.
The Catatumbo River forms a bird-foot-shaped delta in the southwest of Lake Maracaibo basin, and the surface lake water in the delta has a salinity of only 0.13%. However, the intrusion of seawater from the mouth of Lake Maracaibo makes the salinity of the bottom lake water higher, reaching 0.2-0.3%.",The salinity of Lake Maracaibo is between 1.5% and 3.8%|The salinity of Lake Maracibo is between 0.2% and 0.3%,Lake Maracaibo,https://en.wikipedia.org/wiki/Lake_Maracaibo
8,What are examples of defunct newspapers in the United States?,"This is a list of defunct newspapers of the United States. Only notable names among the thousands of such newspapers are listed, primarily major metropolitan dailies which published for ten years or more.","The Hoover Gazette was a weekly newspaper that served the city of Hoover, Alabama. The Hoover Gazette was owned by Eagle Publishing Company LLC. The Hoover Gazette was first published on June 5, 2006. The last edition of Hoover Gazette was on August 15, 2007. The newspaper Hoover Gazette was published each Wednesday.",The Daily Worker,The Hoover Gazette,Implicit (reasoning required),Different,"This is a list of defunct newspapers of the United States. Only notable names among the thousands of such newspapers are listed, primarily major metropolitan dailies which published for ten years or more.
The Hoover Gazette was a weekly newspaper that served the city of Hoover, Alabama. The Hoover Gazette was owned by Eagle Publishing Company LLC. The Hoover Gazette was first published on June 5, 2006. The last edition of Hoover Gazette was on August 15, 2007. The newspaper Hoover Gazette was published each Wednesday.",The Daily Worker|The Hoover Gazette,List of defunct newspapers of the United States,https://en.wikipedia.org/wiki/List_of_defunct_newspapers_of_the_United_States
9,When was Little America II base established?,"Little America II was established in 1934, some thirty feet (ten meters) above the site of the original base Little America I, with some of the original base accessed via tunnel. The Little America II base was briefly set adrift in 1934, but the iceberg fused to the main glacier.","In a later expedition to Antarctica, Byrd's expedition spotted Little America's towers still standing, including the Jacobs Wind plant installed in 1933.",1934,1933,Implicit (reasoning required),Different,"Little America II was established in 1934, some thirty feet (ten meters) above the site of the original base Little America I, with some of the original base accessed via tunnel. The Little America II base was briefly set adrift in 1934, but the iceberg fused to the main glacier.
In a later expedition to Antarctica, Byrd's expedition spotted Little America's towers still standing, including the Jacobs Wind plant installed in 1933.",1934|1933,Little America (exploration base),https://en.wikipedia.org/wiki/Little_America_(exploration_base)
10,Is Moxonidine selective or non-selective Agonist?,"I1 receptors include Agonists such as AGN 192403, and Moxonidine","Nonselective ligands include Agonists such as Agmatine (putative endogenous ligand at I1; also interacts with NMDA, nicotinic, and α2 adrenoceptors), Apraclonidine (α2 adrenoceptor agonist), 2-BFI (I2 agonist, NMDA antagonist), Cimetidine (I1 agonist, H2 receptor antagonist), Clonidine (I1 agonist, α2 adrenoceptor agonist), LNP-509, LNP-911, 7-Me-marsanidine, Dimethyltryptamine, mCPP, and Moxonidine",selective,non-selective,Implicit (reasoning required),Different,"I1 receptors include Agonists such as AGN 192403, and Moxonidine
Nonselective ligands include Agonists such as Agmatine (putative endogenous ligand at I1; also interacts with NMDA, nicotinic, and α2 adrenoceptors), Apraclonidine (α2 adrenoceptor agonist), 2-BFI (I2 agonist, NMDA antagonist), Cimetidine (I1 agonist, H2 receptor antagonist), Clonidine (I1 agonist, α2 adrenoceptor agonist), LNP-509, LNP-911, 7-Me-marsanidine, Dimethyltryptamine, mCPP, and Moxonidine",selective|non-selective,Imidazoline receptor,https://en.wikipedia.org/wiki/Imidazoline_receptor
